text,rating
"aplikasi sering eror keluar sendiri saya sudah hapus aplikasi saya downlod lagi masih sama Telkomsel kenapa akhir""ini kurang memuaskan aplikasi sering eror dan paket mahal sekarang jadi mengecewakan kalau gak segera di perbaiki mending ganti yang lain aja",1
aplikasi nya makin kesini makin jelek mau ngecek sisa kuota juga susah,1
"Kuota mahal, jaringan lambat, ga ada perbaikan pula. padahal dulu² jaringannya paling cepet diantara operator lain, padahal udah make telkomsel dari tahun 2021",1
membantu sya 🙏🙏🤞,5
"niat gak sih bikin apk,log in ke aplikasi ini aja setengah mati,klaw ngak niat hapus aja dari playstore",1
"uda bagus yg 4.5 gb satu bulan, tiba2 berubah jadi 14 hari",5
𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒎𝒂𝒌𝒊𝒏 𝒔𝒊𝒏𝒊 𝒎𝒂𝒌𝒊𝒏 𝒂𝒏𝒄𝒖𝒓 𝒂𝒔𝒖,1
untuk harga paket promo 30gb jelas saya tidak habis karena kebanyakan aktivitas di dalam rumah akan tetapi untuk paket promo selanjutnya diturunkan menjadi 20gb mengapa hal itu bisa terjadi? bagaimana jika saya sedang pergi untuk berlibur di bulan itu dan menghabiskan banyak paket kuota tidak adil rasanya harga paket mahal promo tiba tiba naik turun,2
jaringan lambat sekaliiii sumpahhhhh,1
"operator rakus, pulsa kok bisa habis sendiri. makin enggak jelas Telkomsel, yg punya Telkomsel mending jangan isi pulsa beli paketan saja karna klau ada sisa bakalan ludes di colong operator 💩💩",1
paketnya murah,5
nge lag kontol,1
awal bagus jaringan .. makin ke sini kok malah tambah jelek jaringan nya sering lag,1
Telkomsel the best,5
"Aplikasi yg sangat menyulitkan customer, masa iya mau menonaktifkan paket, prosedurnya harus ribet. mana layanan veronikanya jg tdk becus beda dengan TRI dan XL klo mau berhenti paket tinggal klik berhenti nah ini aplikasi d suruh hubungi CS layanan dan ke Grapari.. ribet udah thn 2025 teknologi makin maju, teknologi memudahkan nah ini sangat ribet .. haduh gimana sih? pantas saja Telkomsel banyak d tinggalkan wong aplikasinya aja ribet, percuma buat aplikasi tp harus hubungi layanan lagi RIBET",1
tidak bisa melihat sisa kouta selalu loading,1
ok,5
sinyal jelek di mana mana KALAH JAUH SAMA INDOSAT,1
mudah di gunakan,5
Telkomsel sekarang jaringan nya ngelag banget ga kaya dulu selalu lancar,2
update doang kagak ada kagak ada kemajuan sinyal tetap jelek,1
sekarang Telkomsel sinyal udh bobrok susah...,1
keren,5
"sinyal ngeleg harga mahal apk nya berat bgt di buka, udah pake wifi aj ttp ngeleg parah ni apk. sering ilang ilangan sinyalnya gaje bgt ni provider!!",1
"aplikasi ga jelas. dibuka lag terus, harga serba mahal, kalo g aterpaksa mah kaga bakal gw donlod lu",1
"aplikasi apa ini MW registrasi kartu aja payah banget,eror terus,bisa setruk org di buat,Udh harga paket mahal2 lagi....benerin lah ini gk guna bget,apa kerja nya ini yg buat aplikasi gk d bnerin juga....",1
baik,5
"jaringan makin ngga jelas, minimal kalo mahal jaringan bagus dong, kecewa bangett lama lama",1
aplikasi saat di buka lola,3
"coba jaringan perbaiki, saya sudah lama menjadi pengguna Telkomsel.",5
"SUDAH MAHAL SINYAL GAK STABIL NGENTOODDD, KEBANYAKAN KORUPSI LU PADA ASU",1
load nya lama,1
sinyal ada hujan dikit langsung ga normal. Masuk apk sering stuck loading terus. Tolonglah perbaiki min. Sering gabisa masuk padahal sinyal full juga.,1
JARINGAN BUSUK,1
"loading di beranda lama, buka fitur-fitur yang lain juga tidak bisa padahal sinyal bagus",1
"makin lama makin mahal , tolong dong promo nya di muncul kan",3
"dulunya bagus,eee makin di-update malah memble belum ada perbaikan",2
pelajari lebih lanjut,5
ok,5
Sering mengalami bug pas saya buka tiba-tiba keluar sendiri kenapa jaringannya sering ngeleg,3
sangat bagus,5
aplikasi berjalan lambat sekali,3
banyak bug,3
sinyal lu benerin kntl,1
"Sinyal sangat sangat sangat buruk!!! Sama sekali tidak ada perbaikan! Untuk main game ngadat, beli paket gangguan, pulsa ga kepake kepotong!",1
ada apa dengan Telkomsel mau masuk aplikasinya susah banget apalagi mau beli paketannya hemmm.... tolong di perbaiki ..,2
bagus,5
bagus,5
payah,1
"edan perpanjang nomer kartu telkomsel goceng cuman 2 hr, di websitenya 7 hari. makin lama makin mahal nich 🙅‍♂️😩",3
"kenapa setelah update, refresh buat liat sisa datanya lemot banget",1
jaringan tolol,1
"terlalu banyak fitur tidak berguna memenuhi aplikasi, sehingga ukuran serta loading app lambat",1
"sekelas telkomsel, kayak gini ulasan'nya hehehe",1
"Telkomsel jaringan kualitas terburuk tidak sebanding dengan harga, jaringan sering tidak stabil harusnya dengan harga tergolong mahal jaringan harus lebih stabil ini sebalik nya",1
saya doakan hidup semua petinggi telkomsel gak berkah..ngasih harga tinggi tidak sesuai sama kwlalitas jaringan yg begitu jelek. laknat,1
aplikasi berat bgt.,2
jaringan mulai lagii dah 3 harii ini. begini amat BUMN,2
"sampah 35K cuma dapet 3GB mana kaga dapet bonus udah gitu kalo mau perpanjang juga paketnya pada mahal jaringan kaya kelamin pria dasar Telkomsel hama lebih baik juga Axis setidaknya paket mahal juga dapat kuota bonus surprise 1 gb 2 Minggu sekali, kuota game 1gb perhari",1
👍,5
ketika membuka aplikasi Telkomselnya sendiri untuk melihat sisa kuota harus jaringan yg benar² kuat tolong di seting lebih ringan,2
Aplikasi TERLEMOT,1
mantap,5
"berkali-kali ikut undian poin, tapi gak pernah menang sama sekali. nanti kalau udah menang hadiah undian poin saya janji akan tambah lagi bintangnya.",1
saya heran tidak pakai jaringan nya tapi kuota tetap digolok,1
bujang 6 ma...udah paketnya mahalll...buka aplikasinya lelett...heang,1
woi kikir ajing lu ngasih sinyal yg niat lah blog,1
loading banget aplikasi nya,1
TELKOMNYETTTTT SAMPAH,1
"apps membingungkan, untuk cek tagihan indihome tidak ada",1
Server lemot mau cek kuota aja muter muter kaga pernah selesai,1
apk busuk apk ga jelas,1
"tidak update sisa kuota ketika membuka aplikasi, masa harus hapus cache dan force close aplikasi mulu. Kalah sama aplikasi provider sebelah yang real time update informasi sisa kuota",3
sempurna,5
SDH lah emang dah ga pentes lagi pake Telkomsel aplikasi nya rusak jaringan sering eror apa lagi yg di harapkan dari Telkomsel makin buruk pelayanan dan makin ga jelas aja apa lah daya mungkin dah mau gulung tikar kali ni telkomsel,1
tolol banget Telkomsel mana mahal lagi,1
paket mahal jaringan ga jelas,1
bagus,5
buruk sekali ini aplikasi gk ada guna,1
bagus,5
sangat baik,5
"apk gak jelas,",1
"makin hari makin gx jelas, aplikasi gx bisa di buka..mutar² trus...",1
"aplikasi Ga jelas, ukurannya aja yang gede tapi masih banyak Bug. Mau beli paket bayar dengan Dana aja malah ga bisa dan dipersulit, padahal jaringan bagus dan Apk udah diupdate.",1
